Id,Majstor,Kategorija,Lokacija,Ocjena
1,_John Smith_,Moler,Sarajevo,10
1,_John Smith_,Gipsar,Sarajevo,10
1,_John Smith_,Fasader,Sarajevo,10
1,_John Smith_,Zidar,Sarajevo,10
1,_John Smith_,Parketar,Sarajevo,10
1,_John Smith_,Keramičar,Sarajevo,10
1,_Muhamed Šahinović_,Keramičar,Tuzla,10
1,_Adnan Kanurić_,Keramičar,Bihać,10
1,_Belmin Dizdarević_,Keramičar,Blagaj,10
1,_Selmir Pidro_,Keramičar,Bugojno,10
1,_Halid Šabanović_,Keramičar,Derventa,10
1,_Mirko Oremuš_,Keramičar,Foča,10
1,_Darko Lazić_,Keramičar,Goražde,10
1,_Dino Islamović_,Keramičar,Jajce,10
1,_Numan Kurdić_,Keramičar,Kakanj,10
1,_Amer Dupovac_,Keramičar,Livno,10
1,_Muharem Trako_,Keramičar,Maglaj,10
1,_Haris Konjalić_,Keramičar,Sarajevo,10
1,_Anel Hebibović_,Keramičar,Sarajevo,10
1,_Andrej Đokanović_,Keramičar,Sarajevo,10
1,_Tarik Ramić_,Keramičar,Tuzla,10
1,_Dal Varešanović_,Keramičar,Sarajevo,10
1,_Vicko Ševelj_,Keramičar,Bihać,10
1,_Kerim Palić_,Keramičar,Bihać,10
1,_Matthias Fanimo_,Keramičar,Zenica,10
1,_Armin Imamović_,Keramičar,Zenica,10
1,_Rifet Kapić_,Keramičar,Zenica,10
1,_Josip Bender_,Keramičar,Zenica,10
1,_Luka Malić_,Keramičar,Mostar,10
1,_Petar Bojo_,Keramičar,Mostar,10
1,_Omar Beća_,Keramičar,_Banja Luka_,10
1,_Faruk Duraković_,Keramičar,Sarajevo,10
1,_Edo Vehabović_,Keramičar,_Banja Luka_,10
1,_Igor Belan_,Keramičar,_Banja Luka_,10
1,_Goran Bojo_,Keramičar,_Banja Luka_,10
1,_Cane Beća_,Keramičar,_Banja Luka_,10
1,_Zijad Duraković_,Keramičar,Sarajevo,10
1,_Denis Zvonić_,Keramičar,Mostar,10
1,_Mehmed Ćosić_,Keramičar,Sarajevo,10
1,_Tarik Isić_,Keramičar,Bihać,10
1,_Slaviša Radović_,Keramičar,Bihać,10
1,_Samir Zeljković_,Keramičar,Zenica,10
1,_Melvin Osmić_,Keramičar,Zenica,10
1,_Haris Ovčina_,Keramičar,Travnik,10
1,_Mersudin Ahmetović_,Keramičar,Travnik,10
1,_Darko Bodul_,Keramičar,Mostar,10
1,_Krste Velkoski_,Keramičar,Mostar,10
1,_Boris Cmiljanić_,Keramičar,_Banja Luka_,10
1,_Dražen Bagarić_,Keramičar,Sarajevo,10
1,_Kenan Dervišagić_,Keramičar,Travnik,10
1,_John Smith_,_Građevinski limar_,Sarajevo,10
1,_John Smith_,Varilac,Sarajevo,10
1,_John Smith_,_Građevinski stolar_,Sarajevo,10
1,_John Smith_,Izolater,Sarajevo,10
1,_John Smith_,Tesar,Sarajevo,10
1,_John Smith_,_Izrada bazena i fontana_,Sarajevo,10
1,_John Smith_,_Pomoćni radnik_,Sarajevo,10
1,_John Smith_,_Postavljanje podnih površina_,Sarajevo,10
1,_John Smith_,_Sječenje i bušenje_,Sarajevo,10
1,_John Smith_,Armirač,Sarajevo,10
1,_John Smith_,Bravar-monter,Sarajevo,10
